Cindfam,Cindoff,Cindon,Cinsfam,Cinsoff,Cinson,Cotsfam,Cotsoff,Cotson,Grcohrt,Number of Records,Pgrcohrt,Ret Nmf,Ret Pcf,Rrftcta,Rrftct,Rrftex,Stufacr,Ugentern,Unitid (Ef2013D),Unitid
10515,21926,20682,10515,21926,20682,21675,33086,31842,3166,1,53,2527,83,3036,3036,0,22,5954,110556,110556
10809,23517,23505,10809,23517,23505,21969,34677,34665,4512,1,47,3912,89,4419,4419,0,24,9535,110565,110565
10702,22969,22312,10702,22969,22312,21862,34129,33472,1477,1,41,1201,78,1549,1549,0,25,3643,110574,110574
10860,22686,22106,10860,22686,22106,22020,33846,33266,4119,1,53,3679,89,4145,4145,0,22,7780,110583,110583
10961,23678,21705,10961,23678,21705,22121,34838,32865,2895,1,46,2269,82,2765,2765,0,24,6349,110592,110592
11145,23863,21669,11145,23863,21669,22305,35023,32829,5760,1,51,3197,78,4088,4088,0,24,11250,110608,110608
11120,23168,23209,11120,23168,23209,22280,34328,34369,3202,1,41,2467,83,2990,2990,0,26,7822,110617,110617
24091,28859,33319,24091,28859,33319,46969,51737,56197,4677,1,67,3977,96,4127,4127,0,17,6947,110635,110635
25266,28427,33066,25266,28427,33066,48144,51305,55944,5063,1,62,4807,93,5172,5172,0,17,8220,110644,110644
24078,29548,30504,24078,29548,30504,46956,52426,53382,5449,1,73,4649,92,5067,5067,0,19,7471,110653,110653
23750,29299,32416,23750,29299,32416,46628,52177,55294,5684,1,67,5398,96,5608,5608,0,16,8525,110662,110662
23793,28395,32238,23793,28395,32238,46671,51273,55116,4187,1,76,3560,89,4001,4001,0,19,5515,110671,110671
24197,29475,30470,24197,29475,30470,47075,52353,53348,5218,1,66,4305,94,4570,4570,0,19,7932,110680,110680
25591,30398,34051,25591,30398,34051,48469,53276,56929,4597,1,75,4341,92,4722,4722,0,17,6119,110705,110705
24661,29891,33153,24661,29891,33153,47539,52769,56031,3295,1,77,3389,89,3817,3817,0,18,4303,110714,110714
13415,24405,17775,13415,24405,17775,13415,24405,17775,2,1,20,3,100,3,3,0,13,10,110918,110918
24832,31648,,24832,31648,,24832,31648,,,1,,26,27,95,95,0,11,,110945,110945
17209,23873,,17209,23873,,17209,23873,,,1,,85,79,107,107,0,35,,111009,111009
49321,59860,58296,49321,59860,58296,49321,59860,58296,172,1,52,153,85,180,180,0,7,329,111081,111081
,,21102,,,21102,,,32262,199,1,69,161,82,196,196,0,14,290,111188,111188
7257,18102,,7257,18102,,14333,25178,,279,1,13,170,66,259,259,0,25,2193,111434,111434
7139,18299,,7139,18299,,11435,22595,,1611,1,31,1060,76,1391,1391,0,30,5118,111461,111461
,,,,,,,,,,1,,15,63,24,24,0,24,,111638,111638
7332,18492,,7332,18492,,13100,24260,,1435,1,25,872,74,1181,1181,0,28,5784,111887,111887
6194,15370,,6194,15370,,11878,21054,,225,1,14,117,58,203,203,0,25,1650,111896,111896
