Cindfam,Cindoff,Cindon,Cinsfam,Cinsoff,Cinson,Cotsfam,Cotsoff,Cotson,Enrft,Enrpt,Enrtot,Number of Records,Unitid (Drvef2013),Unitid
17339,28190,,17339,28190,,17339,28190,,517,473,990,1,115773,115773
7311,18471,,7311,18471,,12911,24071,,3832,3869,7701,1,115861,115861
7629,19185,,7629,19185,,13791,25347,,4495,8867,13362,1,116439,116439
22431,29926,,22431,29926,,22431,29926,,1063,146,1209,1,116466,116466
22431,29926,,22431,29926,,22431,29926,,449,85,534,1,116475,116475
22431,29926,,22431,29926,,22431,29926,,653,170,823,1,116484,116484
,,46869,,,46869,,,46869,188,41,229,1,116846,116846
6958,16778,11986,6958,16778,11986,12598,22418,17626,5328,8479,13807,1,117052,117052
18585,29745,24285,18585,29745,24285,18585,29745,24285,447,180,627,1,117104,117104
29251,35893,36211,29251,35893,36211,29251,35893,36211,1466,403,1869,1,117113,117113
41085,52245,51997,41085,52245,51997,41085,52245,51997,5550,3246,8796,1,117140,117140
32342,45538,43238,32342,45538,43238,32342,45538,43238,491,53,544,1,117168,117168
6954,18222,,6954,18222,,12375,23643,,765,1661,2426,1,117195,117195
7273,18433,,7273,18433,,12385,23545,,1907,9455,11362,1,117247,117247
7069,18031,12961,7069,18031,12961,11845,22807,17737,600,1894,2494,1,117274,117274
12145,20725,,12145,20725,,12145,20725,,436,56,492,1,117557,117557
21057,35517,29991,21057,35517,29991,21057,35517,29991,68,121,189,1,117575,117575
37299,46620,41490,37299,46620,41490,37299,46620,41490,2112,328,2440,1,117627,117627
7323,18267,,7323,18267,,12843,23787,,9530,14490,24020,1,117645,117645
7206,18366,,7206,18366,,12146,23306,,2535,7563,10098,1,117690,117690
7206,18366,,7206,18366,,12146,23306,,4489,15591,20080,1,117706,117706
7206,18366,,7206,18366,,12146,23306,,1333,6531,7864,1,117715,117715
7206,18366,,7206,18366,,12146,23306,,3447,10432,13879,1,117724,117724
7206,18366,,7206,18366,,12146,23306,,4526,14236,18762,1,117733,117733
33606,44622,42147,33606,44622,42147,33606,44622,42147,1105,394,1499,1,117751,117751
7206,18366,,7206,18366,,12146,23306,,4462,15173,19635,1,117788,117788
7206,18366,,7206,18366,,12146,23306,,1941,7049,8990,1,117867,117867
12027,19006,,12027,19006,,17767,24746,,2709,5816,8525,1,117894,117894
29251,35893,35119,29251,35893,35119,29251,35893,35119,820,497,1317,1,117928,117928
46250,57410,57379,46250,57410,57379,46250,57410,57379,8710,951,9661,1,117946,117946
7081,21004,,7081,21004,,13231,27154,,1281,4796,6077,1,118347,118347
36067,46895,47961,36067,46895,47961,36067,46895,47961,1006,31,1037,1,118541,118541
7408,18568,,7408,18568,,13108,24268,,1256,2473,3729,1,118684,118684
43044,54204,53834,43044,54204,53834,43044,54204,53834,712,33,745,1,118693,118693
6817,17752,,6817,17752,,11569,22504,,4882,5323,10205,1,118718,118718
7273,18433,,7273,18433,,12385,23545,,838,5049,5887,1,118772,118772
46285,57325,56812,46285,57325,56812,46285,57325,56812,1424,171,1595,1,118888,118888
7124,18284,,7124,18284,,11564,22724,,6438,8099,14537,1,118912,118912
8152,19177,,8152,19177,,13048,24073,,2417,6713,9130,1,118930,118930
7208,18224,,7208,18224,,12104,23120,,6241,10843,17084,1,118976,118976
7200,20898,,7200,20898,,11496,25194,,2320,7199,9519,1,119067,119067
7373,18533,,7373,18533,,13035,24195,,5708,8498,14206,1,119137,119137
5900,17168,,5900,17168,,11976,23244,,10499,17982,28481,1,119164,119164
40570,51876,51100,40570,51876,51100,40570,51876,51100,2508,766,3274,1,119173,119173
7371,18531,,7371,18531,,12921,24081,,5105,9065,14170,1,119216,119216
29045,35687,,29045,35687,,29045,35687,,24,81,105,1,119234,119234
29646,40572,,29646,40572,,29646,40572,,1037,167,1204,1,119270,119270
7127,18287,,7127,18287,,11927,23087,,2376,3932,6308,1,119331,119331
21719,33068,,21719,33068,,21719,33068,,675,21,696,1,119359,119359
18230,29282,,18230,29282,,18230,29282,,223,9,232,1,119368,119368
21912,33279,,21912,33279,,21912,33279,,688,59,747,1,119508,119508
13638,27430,,13638,27430,,13638,27430,,389,424,813,1,119544,119544
17416,27336,,17416,27336,,17416,27336,,8877,9330,18207,1,119605,119605
31586,45149,,31586,45149,,31586,45149,,445,69,514,1,119775,119775
,,,,,,,,,280,0,280,1,120069,120069
,,,,,,,,,550,0,550,1,120078,120078
,,,,,,,,,193,0,193,1,120087,120087
11500,20300,,11500,20300,,11500,20300,,837,151,988,1,120166,120166
37256,49462,49038,37256,49462,49038,37256,49462,49038,1071,959,2030,1,120184,120184
,,63363,,,63363,,,63363,2040,15,2055,1,120254,120254
7658,20402,,7658,20402,,12890,25634,,3219,7091,10310,1,120290,120290
8021,21208,,8021,21208,,13157,26344,,8497,13389,21886,1,120342,120342
44530,55430,55430,44530,55430,55430,44530,55430,55430,1061,25,1086,1,120403,120403
7373,18533,,7373,18533,,13035,24195,,1933,5006,6939,1,120421,120421
32035,43195,39537,32035,43195,39537,32035,43195,39537,935,421,1356,1,120537,120537
,,,,,,,,,895,0,895,1,120661,120661
27940,32140,37540,27940,32140,37540,27940,32140,37540,173,0,173,1,120838,120838
33465,44625,39852,33465,44625,39852,33465,44625,39852,1456,191,1647,1,120865,120865
45795,56955,57033,45795,56955,57033,45795,56955,57033,5749,672,6421,1,120883,120883
10486,17236,,10486,17236,,10486,17236,,424,2829,3253,1,120953,120953
5555,16966,,5555,16966,,9699,21110,,8252,16413,24665,1,120971,120971
7892,17710,,7892,17710,,12908,22726,,9463,15805,25268,1,121044,121044
